tweet_id,tweet,type,user_id,username,user_followers,annotation,new_label,chain_label
1397895650218430465,The country desperately needs vaccines to save lives. But the GOI is busy fighting with Twitter.,parent,3184454384,Nidhi,991168,N,NONE,4
1397895959116345347,"@Nidhi if companies are not manufacturing what can any Government do.. it's not like cooking food. 

Journalist should develop some brain.",comment,4591449193,a01nar,201,N,NONE,4
1397898335403622401,"@a01nar @Nidhi Mr Fake ID, do you know how many vaccine production centres are kept closed by the centre? They could well be used for producing Covaxin. Is 'Bond' a reason?",reply,1026574140860510210,dr_rajagopalan,8,I,HOF,4
1397938350682611713,@a01nar @Nidhi Only andh bhakts keep themselves covered with gobar to get  protection  from covid. If govt fails to order vaccine in time who would manufacture more than ordered quantities. https://t.co/0GmZMMPgU0,reply,118935121,ashok_rastogi,44,E,HOF,4
1397951296519376897,@a01nar @Nidhi if brain is not.. what they will do,reply,138338059,K_S_Raja,131,I,HOF,4
1398025266161586177,"@a01nar @Nidhi If he had brains, she wouldn't post such dumb things on SM",reply,145985109,chait99,119,E,HOF,4
1398030709420294146,@a01nar @Nidhi Govt can announce one more mega TIKA UTSAV to make bhakt happy 😊,reply,415425230,drkirankiran,33,I,HOF,4
1398114518652260354,@a01nar @Nidhi BHAKT NAHI SUDHRE GA😂😂😂,reply,1146738369138851846,Hamza33589016,2,E,HOF,4
1398137930170834944,@a01nar @Nidhi they kept their Brain at Tweeter head office..,reply,4880161989,SMNasi015,37,I,HOF,4
1398147001984847879,@a01nar @Nidhi Hoo... Poor government,reply,1030736463997165569,Unais411,26,N,NONE,4
1398017926897225731,@a01nar @Nidhi Keep licking the boots.... https://t.co/EsyGmAagBB,reply,285461807,chebrazuga,50,E,HOF,4
1397897047114723332,"@a01nar @Nidhi Congratulations, you have been diagnosed with orange fungus.",reply,51706581,khera_rishi,79,I,HOF,4
1398163039585673217,@a01nar @Nidhi At least vaccinate cow dung or cow urine.,reply,1240516917665779712,Singh50120797,14,N,NONE,4
1397897874705305603,@SyntaxErrorism @Nidhi Modi &amp; shah cooking https://t.co/3m8uqz3uTL,reply,1101332775615946753,UTD_arjun,224,N,NONE,4
1397947579384532995,"@SyntaxErrorism @Nidhi Rather according to her, Smriti Irani and S. Jaishankar should manufacturer vaccine and Yes President and vice president too manufacturer vaccine",reply,2723340884,AswathamaHaiApn,3,I,HOF,4
1397896180135202821,"@Nidhi Ministry of IT is dealing with twitter, it has no role in vaccine procurement. Vaccines aren't there, doesn't mean everything else in the country will be stopped.",comment,1353403246191259649,Dontpushyourluk,478,N,NONE,4
1397911505509654528,"@Dontpushyourluk @Nidhi She is from @Harvard, right?

They are intellectuals &amp; smart, how can you correct her!? 
Be the words whatever nonsense &amp; sh¡t- what she is speaking is intelligent!
It's IT department's responsiblity to make vaccines.
Also, I request @elonmusk to make vaccines.",reply,875997155164643335,shrinivas_pande,251,I,HOF,4
1397951222557118477,@Dontpushyourluk @Nidhi Just proves her sense and IQ!!!,reply,1263066777078116353,Ruchika87373449,451,N,NONE,4
1397982027484307459,"@Dontpushyourluk @Nidhi (New Blog Post)🖋️

𝟕 𝐘𝐞𝐚𝐫𝐬 𝐨𝐟 𝐌𝐨𝐝𝐢'𝐬 𝐆𝐨𝐯𝐞𝐫𝐧𝐦𝐞𝐧𝐭 🇮🇳

👇( Click &amp; Read )
https://t.co/Sq8ag4IHpq

@narendramodi",reply,1244932460682641409,__Shubz__,658,N,NONE,4
1397897344994070532,@Nidhi When country need vaccination you your boyfriend abdulla and your malik oppose the indian vaccine😡😡,comment,1113408850047098880,Dikshapandey22,81733,I,HOF,4
1397912660688052228,@Dikshapandey22 @Nidhi Omar Abdullah is her boyfriend?,reply,302766743,ambitiousmayank,514,N,NONE,4
1397897601144422406,@Nidhi Aunty for your kind information the cases have gone very down now and the vaccination drive is going very well and GOI is doing its job so better don't dictate like CCP.,comment,1380104570227990529,rahul_aghariya,31,I,HOF,4
1397932752763162626,@rahul_aghariya what? There are no vaccines available for 18-44 in any state including delhi. I could not get the slot at all. Also only 3% of India's population is fully vaccinated at best,reply,813267783681077248,jaisuper100,181,N,NONE,4
1398053761533153281,@gunsoflogic @Nidhi Kitne paise mile tweet ke,comment,946982254751793154,Shoiab7071,75,I,HOF,4
1397898088258293761,"@Nidhi The country is fighting a war on Covid. But, media &amp; the opposition shamelessly support the likes of Farm Protests to create covid hotspots &amp; ensuring panic!",comment,562164552,Preetam_M_Rao,9634,N,NONE,4
1397900979194908675,"@Preetam_M_Rao @Nidhi Govt is fighting Corona very rightly &amp; intelligently.
But media, people like you are instead of helping people face the corona challenge are fighting with Govt.
Most of you enjoy running down country.",reply,1212576622164897792,HDDubey9,4672,N,NONE,4
1397898088765739013,@Nidhi @virsanghvi @MoHFW_INDIA is busy with vaccines and @GoI_MeitY is fighting with @Twitter. GOI have lots of people to do simultaneous work at the same time.,comment,117648263,varun_dib,290,N,NONE,4
1397899179364548609,"@varun_dib @Nidhi @MoHFW_INDIA @GoI_MeitY @Twitter Actually no. The vaccine decisions are being taken by the Cabinet Secretary who is Chairing the meetings.
They don’t trust the health ministry to combat Covid on it’s own. (Would you?😀)
So, not lots of different people. Same people!",reply,43568964,virsanghvi,4250311,N,NONE,4
1398180543917793281,"@varun_dib @Nidhi @virsanghvi @MoHFW_INDIA @GoI_MeitY @Twitter 'Lots of people' indeed! who should have all been simultaneously working to get us, the citizens, the bloody vaccines",reply,328896494,The_Dravidian,47,I,HOF,4
1397948784710078468,"@varun_dib @Nidhi @virsanghvi @MoHFW_INDIA @GoI_MeitY @Twitter dear genius, the cabinet secretary also provides assistance to the council of Ministers and prepares the agenda of the cabinet. his role is not limited to one department and the rest about meity rolling out the notice against Twitter is basically doing their job. cakewalk thing.",reply,1387821336207052800,vaibhavisgreat,-1,N,NONE,4
1397898207946960896,"@Nidhi While patients are suffering from Covid, you journalists are tweeting &amp; reporting about Govt, You guys should be wearing the PPE kits and helping doctors out there.",comment,715914817807077378,Humor_Silly,21469,N,NONE,4
1397898288439857157,@Nidhi Tum to rahane do! 😀#Harvard,comment,187091188,Veteran__007,7124,I,HOF,4
